cases_id,country_id,year_id,source_group,disease_id,cases
125,2.0,2019,COUNTRIES,6,20.0
126,2.0,2019,COUNTRIES,7,
127,2.0,2019,COUNTRIES,8,0.0
128,2.0,2019,COUNTRIES,9,59.0
129,2.0,2019,COUNTRIES,10,
130,2.0,2019,COUNTRIES,11,
131,2.0,2019,COUNTRIES,12,
132,2.0,2018,COUNTRIES,1,
133,2.0,2018,COUNTRIES,2,3.0
134,2.0,2018,COUNTRIES,13,
135,2.0,2018,COUNTRIES,4,2012.0
136,2.0,2018,COUNTRIES,5,
137,2.0,2018,COUNTRIES,6,53.0
138,2.0,2018,COUNTRIES,7,488.0
139,2.0,2018,COUNTRIES,8,21.0
140,2.0,2018,COUNTRIES,9,37.0
141,2.0,2018,COUNTRIES,10,53.0
142,2.0,2018,COUNTRIES,11,
143,2.0,2018,COUNTRIES,12,
144,2.0,2017,COUNTRIES,1,
145,2.0,2017,COUNTRIES,2,1.0
146,2.0,2017,COUNTRIES,13,
147,2.0,2017,COUNTRIES,4,1511.0
148,2.0,2017,COUNTRIES,5,
149,2.0,2017,COUNTRIES,6,
150,2.0,2017,COUNTRIES,7,1.0
151,2.0,2017,COUNTRIES,8,14.0
152,2.0,2017,COUNTRIES,9,53.0
153,2.0,2017,COUNTRIES,10,
154,2.0,2017,COUNTRIES,12,
155,2.0,2016,COUNTRIES,1,
156,2.0,2016,COUNTRIES,2,
157,2.0,2016,COUNTRIES,13,
158,2.0,2016,COUNTRIES,4,638.0
159,2.0,2016,COUNTRIES,5,29.0
160,2.0,2016,COUNTRIES,6,4.0
161,2.0,2016,COUNTRIES,7,0.0
162,2.0,2016,COUNTRIES,8,13.0
163,2.0,2016,COUNTRIES,9,42.0
164,2.0,2016,COUNTRIES,10,37.0
165,2.0,2016,COUNTRIES,12,
166,2.0,2015,COUNTRIES,1,0.0
167,2.0,2015,COUNTRIES,2,0.0
168,2.0,2015,COUNTRIES,13,0.0
169,2.0,2015,COUNTRIES,4,1154.0
170,2.0,2015,COUNTRIES,5,
171,2.0,2015,COUNTRIES,6,12.0
172,2.0,2015,COUNTRIES,7,432.0
173,2.0,2015,COUNTRIES,8,20.0
174,2.0,2015,COUNTRIES,9,59.0
175,2.0,2015,COUNTRIES,10,74.0
176,2.0,2015,COUNTRIES,12,0.0
177,2.0,2014,COUNTRIES,1,0.0
178,2.0,2014,COUNTRIES,2,0.0
179,2.0,2014,COUNTRIES,13,
180,2.0,2014,COUNTRIES,4,492.0
181,2.0,2014,COUNTRIES,5,0.0
182,2.0,2014,COUNTRIES,6,17.0
183,2.0,2014,COUNTRIES,7,0.0
184,2.0,2014,COUNTRIES,8,28.0
185,2.0,2014,COUNTRIES,9,43.0
186,2.0,2014,COUNTRIES,10,39.0
187,2.0,2014,COUNTRIES,12,
188,2.0,2013,COUNTRIES,1,0.0
189,2.0,2013,COUNTRIES,2,0.0
190,2.0,2013,COUNTRIES,13,0.0
191,2.0,2013,COUNTRIES,4,430.0
192,2.0,2013,COUNTRIES,5,0.0
193,2.0,2013,COUNTRIES,6,13.0
194,2.0,2013,COUNTRIES,7,371.0
195,2.0,2013,COUNTRIES,8,17.0
196,2.0,2013,COUNTRIES,9,367.0
197,2.0,2013,COUNTRIES,10,24.0
198,2.0,2013,COUNTRIES,12,0.0
199,2.0,2012,COUNTRIES,1,
200,2.0,2012,COUNTRIES,2,0.0
201,2.0,2012,COUNTRIES,13,
202,2.0,2012,COUNTRIES,4,2787.0
203,2.0,2012,COUNTRIES,5,
204,2.0,2012,COUNTRIES,6,21.0
205,2.0,2012,COUNTRIES,7,1497.0
206,2.0,2012,COUNTRIES,8,46.0
207,2.0,2012,COUNTRIES,9,
208,2.0,2012,COUNTRIES,10,37.0
209,2.0,2012,COUNTRIES,12,
210,2.0,2011,COUNTRIES,1,
211,2.0,2011,COUNTRIES,2,0.0
